features	weights	abs_weight
APOBEC3C	0.653969996764733	0.653969996764733
CDK6	0.657801566076835	0.657801566076835
TNFAIP8L1	0.662392229711585	0.662392229711585
AC091493.1	0.669657360090865	0.669657360090865
SH2B2	0.670948971058269	0.670948971058269
PPIAP29	0.671785339938568	0.671785339938568
SLA	0.673709724380485	0.673709724380485
LINC01504	0.674419850230693	0.674419850230693
TMEM169	0.675095575519546	0.675095575519546
AC009133.3	0.676397839615472	0.676397839615472
AC040970.1	0.677823965147625	0.677823965147625
FNDC10	0.679681780336889	0.679681780336889
KIAA0040	0.68047526794759	0.68047526794759
SLAMF6	0.681045954223572	0.681045954223572
ZNF71	0.681277840592059	0.681277840592059
RPL31P11	0.683382989623689	0.683382989623689
PPP1R18	0.684342646076594	0.684342646076594
NT5E	0.68531531324375	0.68531531324375
AL844908.1	0.687537584465348	0.687537584465348
CRYBG2	0.692551300495554	0.692551300495554
SCN4A	0.694117049243258	0.694117049243258
LINGO3	0.694396856858535	0.694396856858535
PLEKHA8P1	0.695108281114978	0.695108281114978
AC004585.1	0.696671455000915	0.696671455000915
IRS1	0.698382709372679	0.698382709372679
CALHM6	0.698500380273019	0.698500380273019
ZBED5-AS1	0.708734630240161	0.708734630240161
ITGB2	0.715460621750696	0.715460621750696
VSIR	0.724463198422805	0.724463198422805
PPP1R14A	0.725178044345205	0.725178044345205
CYSLTR1	0.72563184560604	0.72563184560604
RIDA	0.728783753056066	0.728783753056066
TCEANC2	0.735338148124333	0.735338148124333
AC119396.1	0.735859615174075	0.735859615174075
ZNF404	0.737234317952309	0.737234317952309
TLDC2	0.751570479708613	0.751570479708613
FGR	0.763063632984757	0.763063632984757
AC012236.1	0.769246442399292	0.769246442399292
SAMHD1	0.771037542237153	0.771037542237153
LINC01800	0.773828638009256	0.773828638009256
BTN3A2	0.775591206440533	0.775591206440533
SIPA1	0.77568928513651	0.77568928513651
SEMA4B	0.777617149105988	0.777617149105988
METTL7A	0.778252993068232	0.778252993068232
DNASE1	0.781005285632979	0.781005285632979
LINC01547	0.7875287584633	0.7875287584633
PYCARD	0.789326744328132	0.789326744328132
MESP2	0.789678029763299	0.789678029763299
LAT2	0.79484033100808	0.79484033100808
SSBP4	0.798459656208606	0.798459656208606
CARNS1	0.801218954528301	0.801218954528301
ITGB2-AS1	0.801472452605943	0.801472452605943
S1PR4	0.806411359568085	0.806411359568085
SH2D3C	0.807090678924642	0.807090678924642
LPAR5	0.811130251422123	0.811130251422123
SCIMP	0.825312191236844	0.825312191236844
AC010247.1	0.825915371245896	0.825915371245896
SMIM14	0.82905518715765	0.82905518715765
CPNE5	0.83331787064659	0.83331787064659
DEXI	0.859731480530358	0.859731480530358
FNDC5	0.88192825891701	0.88192825891701
AC010247.2	0.88951990820921	0.88951990820921
BIN2	0.899236745315258	0.899236745315258
RGS19	0.905730776828375	0.905730776828375
PTPN6	0.91195729058997	0.91195729058997
CD79B	1	1
